time|tiempo;
man|hombre;
way|camino;
people|gente;
life|vida;
day|día;
work|trabajo;
call|llamada;
night|noche;
home|hogar;
thought|pensamiento;
money|dinero;
name|nombre;
father|padre;
guy|chico;
place|lugar;
feel|sentimiento;
girl|chica;
house|casa;
left|izquierda;
right|derecha;
mother|madre;
course|curso;
dad|papá;
world|mundo;
son|hijo;
car|carro;
woman|mujer;
friend|amigo/amiga;
mind|mente;
head|cabeza;
mom|mamá;
boy|niño;
job|trabajo;
baby|bebé;
family|familia;
room|habitación;
brother|hermano;
head|cabeza;
idea|idea;
wife|esposa;
start|inicio;
door|puerta;
bit|pedazo;
matter|materia;
run|carrera;
school|escuela;
play|juego;
problem|problema;
end|fin;
phone|teléfono;
hope|esperanza;
excuse|excusa;
face|cara;
turn|turno;
police|policía;
heart|corazón;
worry|preocupación;
business|negocio;
watch|reloj;
year|año;
hand|mano;
doctor|médico;
sit|sentada;
second|segundo;
pay|pago;
water|agua;
death|muerte;
stuff|cosas;
minute|minuto;
part|parte;
person|persona;
drink|bebida;
change|cambio;
hit|golpe;
check|cheque;
music|música;
inside|interior;
sleep|sueño;
mine|mío/mía;
deal|acuerdo;
point|punto;
body|cuerpo;
dear|querido/querida;
chance|oportunidad;
close|cierre;
party|fiesta;
daughter|hija;
word|palabra;
fun|diversión;
number|número;
story|historia;
set|conjunto;
wish|deseo;
husband|esposo;
fire|fuego;
fight|pelea;
rest|descanso;
moment|momento;
week|semana;
stand|soporte;
game|juego;
cut|corte;
sister|hermana;
child|niño/niña;
side|lado;
blood|sangre;
truth|verdad;
lady|dama;
shot|disparo;
war|guerra;
break|ruptura;
walk|paseo;
reason|razón;
trouble|problema;
city|ciudad;
town|pueblo;
trust|confianza;
question|pregunta;
office|oficina;
half|mitad;
welcome|bienvenida;
couple|pareja;
hurry|prisa;
honey|cariño;
power|poder;
bed|cama;
front|frente;
answer|respuesta;
gun|pistola;
line|línea;
team|equipo;
news|noticias;
captain|capitán;
hate|odio;
dog|perro;
food|comida;
light|luz;
order|orden;
country|país;
pick|elección;
fact|hecho;
black|negro;
boss|jefe;
cause|causa;
dinner|cena;
promise|promesa;
plan|plan;
sort|tipo;
